Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
kanzi,kanzi,BitStreamException,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: UNDEFINED; INPUT_OUTPUT; END_OF_STREAM; INVALID_STREAM; STREAM_CLOSED
kanzi,kanzi,Error,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ERR_MISSING_PARAM; ERR_BLOCK_SIZE; ERR_INVALID_CODEC; ERR_CREATE_COMPRESSOR; ERR_CREATE_DECOMPRESSOR; ERR_OUTPUT_IS_DIR; ERR_OVERWRITE_FILE; ERR_CREATE_FILE; ERR_CREATE_BITSTREAM; ERR_OPEN_FILE; ERR_READ_FILE; ERR_WRITE_FILE; ERR_PROCESS_BLOCK; ERR_CREATE_CODEC; ERR_INVALID_FILE; ERR_STREAM_VERSION; ERR_CREATE_STREAM; ERR_INVALID_PARAM; ERR_CRC_CHECK; ERR_UNKNOWN
kanzi,kanzi,Global,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INFINITE_VALUE; LOG2; PI_1024; STRETCH
kanzi,kanzi,Magic,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NO_MAGIC; JPG_MAGIC; GIF_MAGIC; PDF_MAGIC; ZIP_MAGIC; LZMA_MAGIC; PNG_MAGIC; ELF_MAGIC; MAC_MAGIC32; MAC_CIGAM32; MAC_MAGIC64; MAC_CIGAM64; ZSTD_MAGIC; BROTLI_MAGIC; RIFF_MAGIC; CAB_MAGIC; FLAC_MAGIC; XZ_MAGIC; KNZ_MAGIC; BZIP2_MAGIC; MP3_ID3_MAGIC; GZIP_MAGIC; BMP_MAGIC; WIN_MAGIC; PBM_MAGIC; PGM_MAGIC; PPM_MAGIC
kanzi,kanzi,Memory.BigEndian,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
kanzi,kanzi,Memory.LittleEndian,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
kanzi,kanzi.entropy,EntropyCodecFactory,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NONE_TYPE; HUFFMAN_TYPE; FPAQ_TYPE; PAQ_TYPE; RANGE_TYPE; ANS0_TYPE; CM_TYPE; TPAQ_TYPE; ANS1_TYPE; TPAQX_TYPE; RESERVED1; RESERVED2; RESERVED3; RESERVED4; RESERVED5; RESERVED6
kanzi,kanzi.entropy,EntropyUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INCOMPRESSIBLE_THRESHOLD
kanzi,kanzi.entropy,HuffmanCommon,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LOG_MAX_CHUNK_SIZE; MIN_CHUNK_SIZE; MAX_CHUNK_SIZE; MAX_SYMBOL_SIZE_V3; MAX_SYMBOL_SIZE_V4
kanzi,kanzi.io,CompressedInputStream,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
kanzi,kanzi.io,CompressedOutputStream,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
kanzi,kanzi.io,CompressedOutputStream.EncodingTask,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
kanzi,kanzi.transform,SBRT,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: MODE_MTF; MODE_RANK; MODE_TIMESTAMP
kanzi,kanzi.transform,TextCodec,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LF; CR; ESCAPE_TOKEN1; ESCAPE_TOKEN2
kanzi,kanzi.transform,TextCodec.DictEntry,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
kanzi,kanzi.transform,TransformFactory,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NONE_TYPE; BWT_TYPE; BWTS_TYPE; LZ_TYPE; SNAPPY_TYPE; RLT_TYPE; ZRLT_TYPE; MTFT_TYPE; RANK_TYPE; EXE_TYPE; DICT_TYPE; ROLZ_TYPE; ROLZX_TYPE; SRT_TYPE; LZP_TYPE; FSD_TYPE; LZX_TYPE; UTF_TYPE; ALIAS_TYPE; RESERVED2; RESERVED3; RESERVED4; RESERVED5
kanzi,kanzi.util,IntBTree.IntBTNode,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
kanzi,kanzi.util,Timing,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: instance
